Customer ID,Name,Age,Gender,Location,Transaction History,Online Behavior,Interests,Values,Lifestyle,Target
CUS0067,Customer 67,41,Non-binary,Sydney,48759.68,Passive,Sports,Security,Business Owner,High Networth Individuals
CUS0068,Customer 68,50,Female,Perth,40273.35,Active,Tech,Customer Service,Student,High Networth Individuals
CUS0069,Customer 69,33,Male,Adelaide,3254.32,Active,Music,Low Fees,Student,Young clients
CUS0070,Customer 70,49,Non-binary,Sydney,22464.26,Passive,Music,Customer Service,Single,High Networth Individuals
CUS0071,Customer 71,58,Male,Hobart,40499.03,Passive,Finance,Convenience,Family-Oriented,High Networth Individuals
CUS0072,Customer 72,70,Female,Hobart,7574.58,Passive,Finance,Customer Service,Business Owner,Young clients
CUS0073,Customer 73,60,Male,Sydney,39477.87,Active,Music,Customer Service,Family-Oriented,High Networth Individuals
CUS0074,Customer 74,67,Male,Melbourne,6763.67,Passive,Fashion,Customer Service,Single,Tech savvy customer
CUS0075,Customer 75,70,Non-binary,Brisbane,4662.67,Passive,Travel,Security,Student,Young clients
CUS0076,Customer 76,36,Non-binary,Sydney,5492.41,Passive,Tech,Low Fees,Student,Young clients
CUS0077,Customer 77,22,Female,Brisbane,25754.8,Active,Music,Convenience,Single,Young clients
CUS0078,Customer 78,70,Male,Perth,23142.09,Passive,Travel,Customer Service,Single,High Networth Individuals
CUS0079,Customer 79,52,Male,Sydney,48470.59,Passive,Finance,Security,Student,High Networth Individuals
CUS0080,Customer 80,69,Non-binary,Hobart,47517.66,Active,Finance,Innovation,Single,High Networth Individuals
CUS0081,Customer 81,27,Female,Melbourne,26454.67,Active,Tech,Customer Service,Student,High Networth Individuals
CUS0082,Customer 82,27,Male,Melbourne,12672.04,Active,Tech,Customer Service,Family-Oriented,High Networth Individuals
CUS0083,Customer 83,35,Non-binary,Sydney,3572.92,Passive,Finance,Convenience,Family-Oriented,Single
CUS0084,Customer 84,57,Male,Adelaide,42586.43,Active,Travel,Customer Service,Business Owner,Family
CUS0085,Customer 85,25,Male,Perth,5600.79,Passive,Finance,Customer Service,Student,Young clients
CUS0086,Customer 86,65,Female,Adelaide,33823.13,Active,Music,Customer Service,Family-Oriented,High Networth Individuals
CUS0087,Customer 87,35,Non-binary,Hobart,32649.08,Passive,Travel,Security,Student,High Networth Individuals
CUS0088,Customer 88,51,Non-binary,Hobart,5454.49,Active,Finance,Innovation,Student,Single
CUS0089,Customer 89,41,Female,Sydney,38590.36,Active,Finance,Low Fees,Family-Oriented,High Networth Individuals
CUS0090,Customer 90,46,Female,Perth,33072.44,Active,Fashion,Low Fees,Student,High Networth Individuals
CUS0091,Customer 91,35,Female,Melbourne,49516.58,Active,Tech,Convenience,Family-Oriented,High Networth Individuals
CUS0092,Customer 92,78,Male,Adelaide,22644.86,Passive,Music,Customer Service,Retired,High Networth Individuals
CUS0093,Customer 93,20,Non-binary,Brisbane,23795.04,Active,Music,Convenience,Business Owner,High Networth Individuals
CUS0094,Customer 94,22,Non-binary,Hobart,24370.35,Passive,Music,Security,Business Owner,High Networth Individuals
CUS0095,Customer 95,58,Female,Brisbane,27459.17,Active,Tech,Low Fees,Single,High Networth Individuals
CUS0096,Customer 96,49,Male,Sydney,5592.17,Active,Sports,Innovation,Business Owner,Small business
CUS0097,Customer 97,56,Non-binary,Adelaide,7650.59,Active,Tech,Security,Family-Oriented,Small business
CUS0098,Customer 98,74,Female,Perth,6407.01,Passive,Finance,Convenience,Business Owner,Tech savvy customer
CUS0099,Customer 99,54,Female,Sydney,38532.64,Active,Music,Innovation,Retired,High Networth Individuals
CUS0100,Customer 100,41,Male,Sydney,33970.4,Active,Music,Customer Service,Family-Oriented,High Networth Individuals
CUS0101,Customer 101,67,Female,Perth,28807.13,Active,Sports,Security,Family-Oriented,High Networth Individuals
CUS0102,Customer 102,18,Non-binary,Hobart,2309.95,Passive,Travel,Customer Service,Business Owner,Frequent traveller
CUS0103,Customer 103,45,Non-binary,Hobart,24941.74,Active,Fashion,Security,Family-Oriented,High Networth Individuals
CUS0104,Customer 104,64,Male,Hobart,46231.01,Passive,Finance,Innovation,Student,High Networth Individuals
CUS0105,Customer 105,45,Male,Hobart,40421.64,Passive,Tech,Innovation,Single,High Networth Individuals
CUS0106,Customer 106,48,Male,Adelaide,38442.39,Passive,Travel,Convenience,Business Owner,High Networth Individuals
CUS0107,Customer 107,68,Non-binary,Melbourne,2005.12,Passive,Tech,Innovation,Student,Tech savvy customer
CUS0108,Customer 108,51,Non-binary,Melbourne,34794.91,Active,Travel,Security,Retired,High Networth Individuals
CUS0109,Customer 109,43,Non-binary,Melbourne,27857.11,Passive,Finance,Innovation,Student,High Networth Individuals
CUS0110,Customer 110,40,Male,Hobart,43290.57,Passive,Sports,Innovation,Single,High Networth Individuals
CUS0111,Customer 111,74,Non-binary,Melbourne,23414.75,Passive,Fashion,Low Fees,Single,High Networth Individuals
CUS0112,Customer 112,79,Female,Adelaide,43809.41,Active,Finance,Innovation,Business Owner,Frequent traveller
CUS0113,Customer 113,64,Female,Sydney,6105.43,Active,Travel,Security,Family-Oriented,Family
CUS0114,Customer 114,43,Female,Brisbane,49732.61,Active,Fashion,Security,Family-Oriented,High Networth Individuals
CUS0115,Customer 115,29,Male,Hobart,48308.92,Active,Finance,Customer Service,Student,High Networth Individuals
CUS0116,Customer 116,66,Non-binary,Brisbane,3598.74,Active,Music,Convenience,Single,Tech savvy customer
CUS0117,Customer 117,64,Non-binary,Hobart,40921.44,Active,Travel,Low Fees,Retired,High Networth Individuals
CUS0118,Customer 118,43,Female,Hobart,21926.4,Passive,Fashion,Low Fees,Student,High Networth Individuals
CUS0119,Customer 119,18,Non-binary,Brisbane,23002.52,Passive,Travel,Convenience,Business Owner,Small business
CUS0120,Customer 120,70,Non-binary,Adelaide,2193.1,Active,Tech,Customer Service,Student,Single
CUS0121,Customer 121,22,Male,Adelaide,15872.25,Passive,Tech,Customer Service,Single,Small business
CUS0122,Customer 122,73,Female,Adelaide,9007.18,Active,Fashion,Convenience,Student,Small business
CUS0123,Customer 123,22,Female,Melbourne,43248.73,Passive,Travel,Low Fees,Student,Frequent traveller
CUS0124,Customer 124,43,Male,Hobart,10298.68,Active,Travel,Customer Service,Family-Oriented,Tech savvy customer
CUS0125,Customer 125,21,Male,Melbourne,4306.18,Active,Travel,Customer Service,Family-Oriented,Young clients
CUS0126,Customer 126,62,Non-binary,Hobart,34646.42,Active,Sports,Low Fees,Retired,High Networth Individuals
CUS0127,Customer 127,28,Non-binary,Sydney,24342.34,Active,Fashion,Low Fees,Business Owner,Frequent traveller
CUS0128,Customer 128,48,Non-binary,Brisbane,46706.43,Active,Fashion,Convenience,Student,High Networth Individuals
CUS0129,Customer 129,51,Female,Sydney,47645.7,Passive,Fashion,Low Fees,Business Owner,Family
CUS0130,Customer 130,68,Male,Sydney,8816.7,Passive,Tech,Low Fees,Student,Family
CUS0131,Customer 131,60,Non-binary,Melbourne,20294.95,Passive,Sports,Security,Business Owner,Small business
CUS0132,Customer 132,48,Non-binary,Perth,48872.04,Passive,Fashion,Convenience,Business Owner,Frequent traveller
CUS0133,Customer 133,79,Female,Melbourne,30223.13,Passive,Fashion,Low Fees,Student,High Networth Individuals
CUS0134,Customer 134,34,Non-binary,Adelaide,40225.47,Active,Music,Innovation,Student,High Networth Individuals
CUS0135,Customer 135,73,Non-binary,Hobart,23314.7,Active,Sports,Convenience,Family-Oriented,High Networth Individuals
CUS0136,Customer 136,31,Non-binary,Melbourne,39244.86,Passive,Finance,Low Fees,Business Owner,High Networth Individuals
CUS0137,Customer 137,73,Male,Hobart,48085.76,Passive,Travel,Innovation,Single,High Networth Individuals
CUS0138,Customer 138,25,Male,Melbourne,34700.3,Passive,Fashion,Innovation,Business Owner,Frequent traveller
CUS0139,Customer 139,59,Female,Sydney,16299.86,Passive,Sports,Customer Service,Business Owner,Family
CUS0140,Customer 140,56,Female,Adelaide,40516.17,Passive,Fashion,Security,Retired,High Networth Individuals
CUS0141,Customer 141,63,Non-binary,Perth,3225.15,Active,Fashion,Convenience,Single,Small business
CUS0142,Customer 142,74,Male,Melbourne,33408.59,Active,Sports,Low Fees,Student,High Networth Individuals
CUS0143,Customer 143,63,Female,Adelaide,44358.52,Active,Finance,Convenience,Retired,High Networth Individuals
CUS0144,Customer 144,63,Non-binary,Melbourne,42924.17,Active,Tech,Low Fees,Retired,High Networth Individuals
CUS0145,Customer 145,44,Male,Perth,45052.57,Passive,Tech,Customer Service,Single,High Networth Individuals
CUS0146,Customer 146,53,Female,Melbourne,38109.16,Passive,Finance,Security,Family-Oriented,High Networth Individuals
CUS0147,Customer 147,53,Female,Adelaide,5449.47,Active,Travel,Customer Service,Business Owner,Family
CUS0148,Customer 148,79,Male,Perth,33879.08,Passive,Music,Convenience,Business Owner,High Networth Individuals
CUS0149,Customer 149,20,Female,Melbourne,4683.76,Passive,Fashion,Customer Service,Family-Oriented,Young clients
CUS0150,Customer 150,53,Male,Melbourne,25781.92,Active,Finance,Customer Service,Student,High Networth Individuals
CUS0151,Customer 151,20,Non-binary,Adelaide,36935.01,Passive,Fashion,Security,Business Owner,High Networth Individuals
CUS0152,Customer 152,28,Male,Sydney,33271.32,Passive,Travel,Low Fees,Family-Oriented,High Networth Individuals
CUS0153,Customer 153,45,Female,Perth,41261.45,Passive,Travel,Customer Service,Student,High Networth Individuals
CUS0154,Customer 154,48,Non-binary,Brisbane,10794.42,Passive,Sports,Customer Service,Business Owner,Single
CUS0155,Customer 155,59,Female,Brisbane,47056.41,Passive,Music,Convenience,Student,High Networth Individuals
CUS0156,Customer 156,36,Male,Sydney,46528.61,Passive,Fashion,Customer Service,Student,High Networth Individuals
CUS0157,Customer 157,28,Female,Hobart,13645.58,Passive,Travel,Innovation,Family-Oriented,Small business
CUS0158,Customer 158,21,Non-binary,Adelaide,20382.13,Passive,Travel,Low Fees,Single,Single
CUS0159,Customer 159,40,Non-binary,Hobart,7887.23,Active,Travel,Innovation,Single,Frequent traveller
CUS0160,Customer 160,44,Non-binary,Perth,32015.05,Passive,Tech,Low Fees,Single,High Networth Individuals
CUS0161,Customer 161,42,Male,Hobart,21191.22,Passive,Fashion,Security,Single,High Networth Individuals
CUS0162,Customer 162,42,Non-binary,Brisbane,15875.82,Active,Finance,Innovation,Family-Oriented,High Networth Individuals
CUS0163,Customer 163,78,Female,Adelaide,17368.15,Passive,Sports,Security,Single,High Networth Individuals
CUS0164,Customer 164,30,Female,Adelaide,16036.22,Passive,Sports,Low Fees,Family-Oriented,High Networth Individuals
CUS0165,Customer 165,52,Female,Sydney,34883.73,Passive,Sports,Low Fees,Retired,High Networth Individuals
CUS0166,Customer 166,48,Non-binary,Brisbane,9038.3,Passive,Tech,Innovation,Single,Single
CUS0167,Customer 167,73,Non-binary,Perth,46933.98,Passive,Tech,Innovation,Family-Oriented,High Networth Individuals
CUS0168,Customer 168,60,Male,Sydney,11730.22,Passive,Sports,Security,Retired,Tech savvy customer
CUS0169,Customer 169,75,Non-binary,Adelaide,29121.19,Active,Tech,Innovation,Student,High Networth Individuals
CUS0170,Customer 170,76,Non-binary,Adelaide,26894.82,Passive,Music,Innovation,Family-Oriented,High Networth Individuals
CUS0171,Customer 171,72,Male,Adelaide,12889.23,Active,Fashion,Customer Service,Retired,Young clients
CUS0172,Customer 172,27,Non-binary,Hobart,19768.91,Active,Sports,Security,Family-Oriented,High Networth Individuals
CUS0173,Customer 173,33,Non-binary,Hobart,28680.86,Passive,Fashion,Security,Family-Oriented,High Networth Individuals
CUS0174,Customer 174,46,Female,Sydney,30880.43,Passive,Sports,Convenience,Family-Oriented,High Networth Individuals
CUS0175,Customer 175,74,Female,Hobart,33328.85,Passive,Fashion,Convenience,Family-Oriented,High Networth Individuals
CUS0176,Customer 176,57,Non-binary,Melbourne,48290.6,Active,Fashion,Customer Service,Business Owner,High Networth Individuals
CUS0177,Customer 177,74,Male,Sydney,40953.13,Passive,Fashion,Low Fees,Family-Oriented,High Networth Individuals
CUS0178,Customer 178,74,Male,Perth,38495.5,Passive,Travel,Customer Service,Business Owner,High Networth Individuals
CUS0179,Customer 179,31,Female,Brisbane,5973.29,Active,Fashion,Convenience,Business Owner,Family
CUS0180,Customer 180,45,Non-binary,Hobart,1490.81,Active,Finance,Innovation,Student,Frequent traveller
CUS0181,Customer 181,30,Non-binary,Hobart,47080.08,Passive,Finance,Innovation,Single,Single
CUS0182,Customer 182,62,Non-binary,Melbourne,24945.12,Active,Tech,Security,Retired,High Networth Individuals
CUS0183,Customer 183,71,Female,Melbourne,7663.08,Active,Finance,Low Fees,Single,Small business
CUS0184,Customer 184,27,Female,Sydney,25079.32,Passive,Tech,Innovation,Single,Single
CUS0185,Customer 185,67,Female,Perth,11061.35,Active,Travel,Low Fees,Retired,High Networth Individuals
CUS0186,Customer 186,36,Female,Melbourne,41826.64,Passive,Tech,Convenience,Family-Oriented,High Networth Individuals
CUS0187,Customer 187,64,Female,Melbourne,46541.07,Active,Finance,Customer Service,Retired,High Networth Individuals
CUS0188,Customer 188,45,Non-binary,Adelaide,48940.09,Passive,Tech,Low Fees,Single,High Networth Individuals
CUS0189,Customer 189,68,Female,Sydney,32126.27,Passive,Finance,Innovation,Retired,High Networth Individuals
CUS0190,Customer 190,28,Non-binary,Sydney,21016.8,Passive,Finance,Low Fees,Business Owner,Small business
CUS0191,Customer 191,38,Female,Hobart,38972.04,Active,Sports,Convenience,Single,Single
CUS0192,Customer 192,37,Female,Perth,28158.11,Active,Sports,Low Fees,Retired,High Networth Individuals
CUS0193,Customer 193,27,Non-binary,Sydney,7508.59,Passive,Sports,Convenience,Family-Oriented,Frequent traveller
CUS0194,Customer 194,77,Non-binary,Sydney,32113.29,Active,Sports,Security,Single,High Networth Individuals
CUS0195,Customer 195,78,Non-binary,Hobart,6649.81,Active,Finance,Convenience,Family-Oriented,Tech savvy customer
CUS0196,Customer 196,46,Non-binary,Sydney,17849.85,Passive,Fashion,Low Fees,Retired,High Networth Individuals
CUS0197,Customer 197,33,Male,Perth,22710.08,Passive,Sports,Customer Service,Family-Oriented,High Networth Individuals
CUS0198,Customer 198,36,Male,Adelaide,47628.22,Active,Sports,Low Fees,Student,High Networth Individuals
CUS0199,Customer 199,80,Female,Adelaide,29684.12,Passive,Sports,Innovation,Family-Oriented,High Networth Individuals
CUS0200,Customer 200,63,Non-binary,Hobart,32240.77,Passive,Sports,Customer Service,Family-Oriented,High Networth Individuals
CUS0201,Customer 201,70,Male,Hobart,44196.25,Active,Music,Low Fees,Retired,High Networth Individuals
CUS0202,Customer 202,58,Male,Hobart,39982.44,Passive,Sports,Innovation,Single,High Networth Individuals
CUS0203,Customer 203,77,Female,Adelaide,9252.92,Passive,Music,Customer Service,Single,Family
CUS0204,Customer 204,43,Non-binary,Perth,34797.14,Passive,Travel,Convenience,Single,High Networth Individuals
CUS0205,Customer 205,52,Non-binary,Adelaide,33298.31,Passive,Fashion,Low Fees,Retired,High Networth Individuals
CUS0206,Customer 206,48,Female,Adelaide,6523.06,Passive,Sports,Innovation,Family-Oriented,Family
CUS0207,Customer 207,67,Male,Perth,28238.6,Active,Fashion,Customer Service,Single,High Networth Individuals
CUS0208,Customer 208,62,Non-binary,Sydney,15039.84,Active,Travel,Customer Service,Student,High Networth Individuals
CUS0209,Customer 209,30,Male,Adelaide,5689.81,Passive,Tech,Convenience,Family-Oriented,Family
CUS0210,Customer 210,46,Male,Sydney,11179.25,Active,Fashion,Innovation,Business Owner,Small business
CUS0211,Customer 211,65,Male,Sydney,45680.26,Active,Tech,Convenience,Business Owner,Young clients
CUS0212,Customer 212,41,Non-binary,Hobart,28040.94,Active,Fashion,Customer Service,Family-Oriented,High Networth Individuals
CUS0213,Customer 213,68,Female,Sydney,9456.37,Active,Finance,Innovation,Retired,Frequent traveller
CUS0214,Customer 214,30,Male,Adelaide,35221.45,Active,Music,Customer Service,Business Owner,Tech savvy customer
CUS0215,Customer 215,72,Non-binary,Sydney,27395.27,Passive,Music,Security,Business Owner,Small business
CUS0216,Customer 216,24,Female,Hobart,44494.87,Active,Music,Security,Single,Single
CUS0217,Customer 217,51,Female,Adelaide,49999.77,Passive,Sports,Innovation,Family-Oriented,High Networth Individuals
CUS0218,Customer 218,34,Non-binary,Melbourne,18743.44,Active,Music,Customer Service,Retired,High Networth Individuals
CUS0219,Customer 219,62,Male,Brisbane,33924.81,Active,Finance,Innovation,Single,High Networth Individuals
CUS0220,Customer 220,73,Male,Sydney,13377.49,Passive,Tech,Low Fees,Family-Oriented,Young clients
CUS0221,Customer 221,59,Female,Adelaide,29435.4,Passive,Tech,Convenience,Student,High Networth Individuals
CUS0222,Customer 222,32,Non-binary,Adelaide,15785.39,Active,Travel,Innovation,Student,High Networth Individuals
CUS0223,Customer 223,38,Non-binary,Brisbane,5002.18,Active,Tech,Customer Service,Family-Oriented,Small business
CUS0224,Customer 224,75,Female,Brisbane,10417.39,Passive,Tech,Customer Service,Business Owner,High Networth Individuals
CUS0225,Customer 225,21,Female,Sydney,45806,Passive,Finance,Security,Family-Oriented,Young clients
CUS0226,Customer 226,73,Non-binary,Hobart,38483.56,Active,Travel,Low Fees,Business Owner,Small business
CUS0227,Customer 227,56,Female,Melbourne,7162.48,Passive,Fashion,Security,Student,High Networth Individuals
CUS0228,Customer 228,22,Male,Sydney,30924.58,Passive,Fashion,Security,Family-Oriented,Young clients
CUS0229,Customer 229,65,Female,Brisbane,11497.27,Active,Finance,Low Fees,Single,Frequent traveller
CUS0230,Customer 230,21,Female,Hobart,6556.27,Passive,Finance,Convenience,Single,Students
CUS0231,Customer 231,40,Male,Brisbane,18270.31,Active,Tech,Convenience,Family-Oriented,High Networth Individuals
CUS0232,Customer 232,46,Female,Hobart,17839.52,Active,Tech,Innovation,Business Owner,Family
CUS0233,Customer 233,64,Male,Perth,37072.58,Active,Travel,Security,Retired,High Networth Individuals
CUS0234,Customer 234,61,Non-binary,Sydney,31689.24,Active,Music,Innovation,Business Owner,Young clients
CUS0235,Customer 235,43,Non-binary,Hobart,17450.11,Passive,Fashion,Innovation,Retired,High Networth Individuals
CUS0236,Customer 236,77,Male,Hobart,40519.83,Active,Fashion,Convenience,Family-Oriented,High Networth Individuals
CUS0237,Customer 237,63,Non-binary,Brisbane,10634.02,Active,Travel,Convenience,Student,Young clients
CUS0238,Customer 238,60,Female,Sydney,6608.27,Active,Sports,Innovation,Student,Frequent traveller
CUS0239,Customer 239,50,Female,Hobart,47645.12,Active,Sports,Customer Service,Business Owner,High Networth Individuals
CUS0240,Customer 240,71,Female,Adelaide,36767.31,Active,Fashion,Security,Single,High Networth Individuals
CUS0241,Customer 241,58,Male,Brisbane,27753.39,Active,Sports,Convenience,Family-Oriented,High Networth Individuals
CUS0242,Customer 242,28,Male,Adelaide,45504.48,Passive,Music,Convenience,Single,Single
CUS0243,Customer 243,55,Non-binary,Melbourne,3317.13,Active,Finance,Security,Single,Small business
CUS0244,Customer 244,32,Non-binary,Perth,49429.36,Active,Music,Convenience,Business Owner,High Networth Individuals
CUS0245,Customer 245,76,Male,Perth,4078.31,Passive,Tech,Convenience,Business Owner,High Networth Individuals
CUS0246,Customer 246,59,Non-binary,Sydney,16095.82,Passive,Sports,Customer Service,Student,High Networth Individuals
CUS0247,Customer 247,69,Female,Hobart,19384.97,Passive,Music,Innovation,Retired,High Networth Individuals
CUS0248,Customer 248,48,Non-binary,Sydney,49679.99,Active,Tech,Convenience,Business Owner,Young clients
CUS0249,Customer 249,48,Male,Melbourne,11092.65,Passive,Music,Low Fees,Student,Family
CUS0250,Customer 250,25,Non-binary,Sydney,11954.01,Active,Sports,Convenience,Student,Young clients
CUS0251,Customer 251,66,Female,Hobart,14301.72,Passive,Travel,Innovation,Business Owner,Family
CUS0252,Customer 252,43,Non-binary,Brisbane,33409.16,Passive,Travel,Customer Service,Business Owner,High Networth Individuals
CUS0253,Customer 253,65,Female,Brisbane,36797.22,Passive,Fashion,Customer Service,Business Owner,Frequent traveller
CUS0254,Customer 254,30,Non-binary,Brisbane,29096.42,Active,Finance,Customer Service,Family-Oriented,High Networth Individuals
CUS0255,Customer 255,71,Female,Perth,13008.91,Passive,Finance,Low Fees,Student,Tech savvy customer
CUS0256,Customer 256,74,Male,Hobart,9391.31,Passive,Sports,Convenience,Retired,Small business
CUS0257,Customer 257,65,Male,Perth,24222.61,Passive,Music,Customer Service,Single,High Networth Individuals
CUS0258,Customer 258,21,Male,Melbourne,4842.48,Passive,Tech,Convenience,Student,Students
CUS0259,Customer 259,59,Female,Adelaide,11195.38,Active,Sports,Low Fees,Family-Oriented,Family
CUS0260,Customer 260,43,Female,Hobart,46500.61,Active,Finance,Convenience,Student,High Networth Individuals
